IMIĘ PIERWSZE,PŁEĆ,LICZBA WYSTĄPIEŃ
ANASTASIJA,KOBIETA,279
LUCJANNA,KOBIETA,279
WINCENTYNA,KOBIETA,278
LIIA,KOBIETA,277
URSULA,KOBIETA,277
ARLENA,KOBIETA,275
NADIJA,KOBIETA,275
ROSA,KOBIETA,274
LEAH,KOBIETA,274
HIERONIMA,KOBIETA,273
WIELISŁAWA,KOBIETA,272
DORIS,KOBIETA,272
SERAFINA,KOBIETA,272
CYNTHIA,KOBIETA,272
FATMA,KOBIETA,271
VLADLENA,KOBIETA,271
KAROLA,KOBIETA,270
ZOSIA,KOBIETA,269
PRAKSEDA,KOBIETA,269
STEPANIIA,KOBIETA,269
LEONA,KOBIETA,269
SUSAN,KOBIETA,268
NATALIJA,KOBIETA,268
KATRIN,KOBIETA,267
LILLI,KOBIETA,266
SOFIE,KOBIETA,264
DARIYA,KOBIETA,263
NADEJDA,KOBIETA,263
TEONA,KOBIETA,263
ASIA,KOBIETA,262
HERONIMA,KOBIETA,259
MARINE,KOBIETA,259
AURELA,KOBIETA,258
MIRONA,KOBIETA,257
ANAT,KOBIETA,257
SOFYA,KOBIETA,256
LAURENCJA,KOBIETA,255
LIUBA,KOBIETA,255
ZARA,KOBIETA,255
ESTER,KOBIETA,255
EVGENIIA,KOBIETA,254
SOLOMIA,KOBIETA,253
YVONNE,KOBIETA,251
KIARA,KOBIETA,251
YASMINA,KOBIETA,250
TAL,KOBIETA,250
ERWINA,KOBIETA,250
IRMGARD,KOBIETA,249
PAULINE,KOBIETA,249
JOLENTA,KOBIETA,248
FABIOLA,KOBIETA,248
LEONIDA,KOBIETA,247
BELLA,KOBIETA,247
NONNA,KOBIETA,245
ZEYNEP,KOBIETA,245
THỊ,KOBIETA,244
CHANTAL,KOBIETA,244
ELIF,KOBIETA,243
RONI,KOBIETA,242
SYNTIA,KOBIETA,241
GABRIELLE,KOBIETA,241
MERVE,KOBIETA,240
DEBORAH,KOBIETA,239
SHIRA,KOBIETA,239
RENA,KOBIETA,238
DANIELLA,KOBIETA,237
ZORYANA,KOBIETA,237
SUSANA,KOBIETA,237
AMALIIA,KOBIETA,237
HILDA,KOBIETA,237
RIMMA,KOBIETA,236
